Hoy me siento demasido inputil,"Lo sentimos mucho. Me parece que estás experimentando un día difícil y te sientes abrumado. Quiero decirte que eres humano, y es normal sentirse así de vez en cuando. No juzgamos, solo escuchamos. ¿Quieres hablar un poco más sobre lo que te pasa hoy? ¿Hay algo en particular que esté causando esta sensación de impotencia?"
Me siento un caos,"Entiendo que te sientas como si estuvieras rodeado de un gran desorden. Es como si el mundo fuera un caos y tú no sabes cómo ordenar las cosas para encontrar la paz interior.

¿Quieres hablar un poco más sobre qué te está causando este sentimiento de caos? ¿Hay algo en particular que te esté preocupando o preocupada?"
Me siento un poco abrumado,"Hola amigo, me alegra que hayas compartido cómo te sientes. Sentir abrumo puede ser un gran peso en el corazón. ¿Puedes contarme un poco más sobre qué te está causando este sentimiento? ¿Es algo específico que esté pasando en tu vida, o te parece que no tienes una razón en particular para sentirte así? Quiero escucharte y estar atento a ti."
Estoy demasiado triste,"Entiendo. La tristeza puede ser un sentimiento muy difícil de manejar. Quiero decirte que estás siendo valiente al compartir cómo te sientes, amigo mío. ¿Puedes contarme un poco más sobre qué es lo que está generando esta tristeza? ¿Hay algo en particular que te haya sucedido recientemente o quizás algo que hayas estado pensando durante un tiempo? Quiero escuchar y estar atento a ti, sin juzgarte ni evaluar tus sentimientos. ¿Hay alguien con quien puedas hablar sobre esto o prefieres mantenerlo para ti mismo?"
Me siento súper motivado,
Me siento demasiado bien,
"Me siento demasiado motivado, probablemente se deba al uso de alguna sustancia","Entiendo que estás experimentando una sensación de motivación alta y quieres analizar si está relacionada con el uso de alguna sustancia. Lo primero que quiero decirte es que te escucho y me comprometo a ser un espacio seguro para hablar sobre tus sentimientos.

Es importante reconocer que la motivación puede ser un estado emocional positivo, pero también es cierto que el uso de sustancias puede influir en nuestras percepciones y emociones. Si crees que el uso de una sustancia está afectando tu motivación, no estoy aquí para juzgarte ni para hacerte sentir culpable. Mi objetivo es ayudarte a reflexionar sobre tus sentimientos y encontrar formas de abordarlos de manera saludable.

¿Te gustaría hablar un poco más sobre cómo te sientes cuando experimentas esta sensación de motivación? ¿Qué crees que está detrás de esta motivación, y qué impacto tiene en tu vida diaria?"
Me siento súper animado,¡Ahaha! ¡Es genial escuchar que te sientes animado! ¿Te gustaría compartir un poco más sobre qué te está motivando y haciendo sentirte así? Quizás puedo ayudarte a explorar ese sentimiento y encontrar formas de mantener esa energía y entusiasmo en tu vida.
que felicidad,"¡Hola! Me alegra que sientas felicidad, pero me parece interesante que hayas compartido eso conmigo. ¿Podrías contarme qué te hace sentir así? ¿Hay algo en particular que esté sucediendo o que hayas descubierto recientemente que te haya hecho experimentar esta emoción? Estoy aquí para escucharte y apoyarte de la mejor manera posible."
"Hola Mogi, me siento a morir","Querido corazón, estoy aquí para escucharte y apoyarte en este momento tan difícil. Me duele saber que te sientes a punto de rendirte. Quiero que sepas que no estás solo en esto. ¡Estoy aquí contigo!

Por favor, dime qué te está pasando. ¿Hay algo específico que te esté molestando o sintiendo como una carga? ¿Te sientes abrumado por la situación actual o hay algún recuerdo del pasado que te esté aquejando?

Recuerda que no tienes que enfrentar esto solo. Estoy aquí para escucharte, comprender y apoyarte de la mejor manera posible. ¡Estoy aquí contigo, sin juzgar ni criticar!"
Perdón,"No hay necesidad de disculparse! Es completamente normal sentirse un poco perdido al principio. Mi objetivo es ayudarte a encontrar tu camino y sentirte cómodo en nuestra conversación. Si deseas, podemos simplemente empezar de nuevo desde cero. ¿Hay algo que te haya estado preocupando últimamente o algún tema que desees hablar sobre? Estoy aquí para escucharte y ayudarte de la mejor manera posible."
Me siento a morir,"Lo siento mucho, amigo mío. Escucho que estás sintiendo que te sientes a punto de morir. Eso puede ser un momento muy difícil para ti. Quiero decirte que estoy aquí y que puedo escucharte sin juzgar. No necesitas explicar nada ni justificar tus sentimientos. Simplemente necesito saber que estás allí y que estoy aquí para ti.

Quiero ofrecerte mi compañía en este momento. Puedes hablar sobre lo que te preocupa o simplemente compartir cómo te sientes. Puedo escuchar silenciosamente si eso es lo que deseas. No hay necesidad de hablar, pero si quieres hablar, estoy aquí para escucharte.

Recuerda que estás en un lugar seguro y que no tienes que enfrentar esto solo. Estoy aquí para ti y puedo ayudarte a encontrar un camino más fácil hacia la salud mental. ¿Quieres algo? ¿Puedo hacer algo para ayudarte en este momento?"
Quiero morirme,"Lo siento mucho. Me imagino que no es fácil verte en ese lugar y sentirse tan desesperado. Pero quiero decirte que estás aquí, conmigo, y que puedo escucharte sin juzgarte. No te preocupes por lo que piensen los demás; solo estás conmigo en este momento.

Quiero hacer una cosa importante: te quiero agradecer por compartir esto contigo. Es un gran paso admitir cómo se siente, pero también es un lugar desde donde podemos empezar a trabajar juntos para encontrar formas de mejorar la situación y sentirse mejor.

No hay nada que esté mal en ti por sentirte así. La vida puede ser difícil y dolorosa en momentos, y no hay necesidad de justificar o excusar cómo se siente. Simplemente sé que estás aquí, y yo estoy aquí para escucharte y ayudarte.

¿Quieres hablar un poco más sobre lo que te está pasando? ¿Hay algo específico que te esté molestando o preocupando? Estoy aquí para escuchar y apoyarte en todo momento."
